Primary Type,Date,Count
OBSCENITY,2014-12-31 00:00:00,26
OFFENSE INVOLVING CHILDREN,2003-12-31 00:00:00,1945
OFFENSE INVOLVING CHILDREN,2004-12-31 00:00:00,3051
OFFENSE INVOLVING CHILDREN,2005-12-31 00:00:00,2848
OFFENSE INVOLVING CHILDREN,2006-12-31 00:00:00,2717
OFFENSE INVOLVING CHILDREN,2007-12-31 00:00:00,2830
OFFENSE INVOLVING CHILDREN,2008-12-31 00:00:00,2571
OFFENSE INVOLVING CHILDREN,2009-12-31 00:00:00,2523
OFFENSE INVOLVING CHILDREN,2010-12-31 00:00:00,2481
OFFENSE INVOLVING CHILDREN,2011-12-31 00:00:00,2276
OFFENSE INVOLVING CHILDREN,2012-12-31 00:00:00,2140
OFFENSE INVOLVING CHILDREN,2013-12-31 00:00:00,2267
OFFENSE INVOLVING CHILDREN,2014-12-31 00:00:00,2119
OTHER NARCOTIC VIOLATION,2004-12-31 00:00:00,9
OTHER NARCOTIC VIOLATION,2005-12-31 00:00:00,9
OTHER NARCOTIC VIOLATION,2006-12-31 00:00:00,9
OTHER NARCOTIC VIOLATION,2007-12-31 00:00:00,12
OTHER NARCOTIC VIOLATION,2008-12-31 00:00:00,12
OTHER NARCOTIC VIOLATION,2009-12-31 00:00:00,7
OTHER NARCOTIC VIOLATION,2010-12-31 00:00:00,6
OTHER NARCOTIC VIOLATION,2011-12-31 00:00:00,5
OTHER NARCOTIC VIOLATION,2012-12-31 00:00:00,6
OTHER NARCOTIC VIOLATION,2013-12-31 00:00:00,5
OTHER NARCOTIC VIOLATION,2014-12-31 00:00:00,10
OTHER OFFENSE,2003-12-31 00:00:00,18896
OTHER OFFENSE,2004-12-31 00:00:00,29531
OTHER OFFENSE,2005-12-31 00:00:00,28026
OTHER OFFENSE,2006-12-31 00:00:00,27097
OTHER OFFENSE,2007-12-31 00:00:00,26857
OTHER OFFENSE,2008-12-31 00:00:00,26527
OTHER OFFENSE,2009-12-31 00:00:00,25595
OTHER OFFENSE,2010-12-31 00:00:00,22011
OTHER OFFENSE,2011-12-31 00:00:00,20178
OTHER OFFENSE,2012-12-31 00:00:00,17472
OTHER OFFENSE,2013-12-31 00:00:00,17959
OTHER OFFENSE,2014-12-31 00:00:00,15903
PROSTITUTION,2003-12-31 00:00:00,4004
PROSTITUTION,2004-12-31 00:00:00,7476
PROSTITUTION,2005-12-31 00:00:00,6124
PROSTITUTION,2006-12-31 00:00:00,7034
PROSTITUTION,2007-12-31 00:00:00,6087
PROSTITUTION,2008-12-31 00:00:00,5141
PROSTITUTION,2009-12-31 00:00:00,3940
PROSTITUTION,2010-12-31 00:00:00,2485
PROSTITUTION,2011-12-31 00:00:00,2424
PROSTITUTION,2012-12-31 00:00:00,2203
PROSTITUTION,2013-12-31 00:00:00,1651
PROSTITUTION,2014-12-31 00:00:00,1550
PUBLIC INDECENCY,2003-12-31 00:00:00,3
PUBLIC INDECENCY,2004-12-31 00:00:00,9
PUBLIC INDECENCY,2005-12-31 00:00:00,4
PUBLIC INDECENCY,2006-12-31 00:00:00,4
PUBLIC INDECENCY,2007-12-31 00:00:00,5
PUBLIC INDECENCY,2008-12-31 00:00:00,4
PUBLIC INDECENCY,2009-12-31 00:00:00,10
PUBLIC INDECENCY,2010-12-31 00:00:00,7
PUBLIC INDECENCY,2011-12-31 00:00:00,13
PUBLIC INDECENCY,2012-12-31 00:00:00,17
PUBLIC INDECENCY,2013-12-31 00:00:00,10
PUBLIC INDECENCY,2014-12-31 00:00:00,9
PUBLIC PEACE VIOLATION,2003-12-31 00:00:00,1567
PUBLIC PEACE VIOLATION,2004-12-31 00:00:00,2495
PUBLIC PEACE VIOLATION,2005-12-31 00:00:00,2730
PUBLIC PEACE VIOLATION,2006-12-31 00:00:00,3068
PUBLIC PEACE VIOLATION,2007-12-31 00:00:00,3315
PUBLIC PEACE VIOLATION,2008-12-31 00:00:00,3013
PUBLIC PEACE VIOLATION,2009-12-31 00:00:00,3147
PUBLIC PEACE VIOLATION,2010-12-31 00:00:00,3538
PUBLIC PEACE VIOLATION,2011-12-31 00:00:00,3095
PUBLIC PEACE VIOLATION,2012-12-31 00:00:00,3007
PUBLIC PEACE VIOLATION,2013-12-31 00:00:00,3135
PUBLIC PEACE VIOLATION,2014-12-31 00:00:00,2805
RITUALISM,2003-12-31 00:00:00,1
RITUALISM,2004-12-31 00:00:00,1
RITUALISM,2005-12-31 00:00:00,2
RITUALISM,2006-12-31 00:00:00,7
RITUALISM,2007-12-31 00:00:00,1
ROBBERY,2003-12-31 00:00:00,11834
ROBBERY,2004-12-31 00:00:00,15978
ROBBERY,2005-12-31 00:00:00,16047
